1.323152465820312500e+03,1.238269897460937500e+03,1.140396240234375000e+03,1.021675109863281250e+03,9.084197387695312500e+02,7.760577392578125000e+02,5.456223144531250000e+02,0.000000000000000000e+00
1.324669189453125000e+03,1.245679321289062500e+03,1.143444091796875000e+03,1.029646972656250000e+03,9.187250976562500000e+02,7.848597412109375000e+02,5.590966186523437500e+02,0.000000000000000000e+00
1.336971923828125000e+03,1.253715454101562500e+03,1.157132934570312500e+03,1.038139648437500000e+03,9.247621459960937500e+02,7.943867187500000000e+02,5.679748535156250000e+02,0.000000000000000000e+00
1.338659057617187500e+03,1.261256225585937500e+03,1.160372314453125000e+03,1.046519409179687500e+03,9.309953002929687500e+02,7.989670410156250000e+02,5.769064941406250000e+02,0.000000000000000000e+00
1.350465698242187500e+03,1.268904541015625000e+03,1.173688720703125000e+03,1.059504760742187500e+03,9.407011718750000000e+02,8.072715454101562500e+02,5.949609985351562500e+02,0.000000000000000000e+00
1.352504028320312500e+03,1.281753906250000000e+03,1.182159179687500000e+03,1.072911499023437500e+03,9.516136474609375000e+02,8.165815429687500000e+02,6.035981445312500000e+02,0.000000000000000000e+00
1.360889770507812500e+03,1.286728393554687500e+03,1.193756835937500000e+03,1.080263916015625000e+03,9.562807617187500000e+02,8.225690307617187500e+02,6.074527587890625000e+02,5.993404388427734375e+01
1.367860473632812500e+03,1.289470336914062500e+03,1.197210327148437500e+03,1.083952880859375000e+03,9.633273925781250000e+02,8.278250122070312500e+02,6.117105712890625000e+02,9.967634582519531250e+01
1.370045410156250000e+03,1.297428344726562500e+03,1.200870117187500000e+03,1.092680541992187500e+03,9.700061035156250000e+02,8.327762451171875000e+02,6.207314453125000000e+02,1.392160949707031250e+02
1.371843505859375000e+03,1.304980224609375000e+03,1.214156616210937500e+03,1.101257812500000000e+03,9.768796997070312500e+02,8.378675537109375000e+02,6.199035034179687500e+02,1.686845092773437500e+02
1.378932983398437500e+03,1.307869140625000000e+03,1.217778686523437500e+03,1.105189208984375000e+03,9.793845214843750000e+02,8.384909667968750000e+02,6.293029785156250000e+02,1.782497253417968750e+02
1.385837524414062500e+03,1.320544189453125000e+03,1.226205566406250000e+03,1.118642089843750000e+03,9.906780395507812500e+02,8.480872802734375000e+02,6.380227661132812500e+02,2.222451019287109375e+02
1.388023681640625000e+03,1.323452514648437500e+03,1.234782958984375000e+03,1.122616821289062500e+03,9.934230346679687500e+02,8.489584350585937500e+02,6.376981201171875000e+02,2.268053588867187500e+02
1.389966430664062500e+03,1.326191528320312500e+03,1.238320800781250000e+03,1.126576293945312500e+03,9.963132324218750000e+02,8.548854370117187500e+02,6.374186401367187500e+02,2.264053802490234375e+02
1.401656494140625000e+03,1.333796508789062500e+03,1.246689208984375000e+03,1.140069702148437500e+03,1.007892089843750000e+03,8.646367187500000000e+02,6.560206298828125000e+02,2.700244445800781250e+02
1.403804931640625000e+03,1.336718139648437500e+03,1.250367431640625000e+03,1.144130371093750000e+03,1.010910400390625000e+03,8.657520751953125000e+02,6.558244018554687500e+02,2.745006103515625000e+02
1.405908447265625000e+03,1.339558471679687500e+03,1.249064697265625000e+03,1.148195922851562500e+03,1.014087341308593750e+03,8.669833984375000000e+02,6.557456665039062500e+02,2.643101806640625000e+02
1.405042968750000000e+03,1.344498901367187500e+03,1.259845825195312500e+03,1.149751831054687500e+03,1.019599670410156250e+03,8.709211425781250000e+02,6.539958496093750000e+02,2.730376586914062500e+02
1.394764282226562500e+03,1.335515258789062500e+03,1.252368164062500000e+03,1.148463378906250000e+03,1.013487365722656250e+03,8.642323608398437500e+02,6.576347045898437500e+02,2.895116577148437500e+02
1.394375488281250000e+03,1.331610229492187500e+03,1.245119018554687500e+03,1.147203857421875000e+03,1.012130187988281250e+03,8.671276245117187500e+02,6.611118164062500000e+02,3.008142089843750000e+02
1.384086669921875000e+03,1.322632324218750000e+03,1.237687866210937500e+03,1.141078369140625000e+03,1.011044189453125000e+03,8.606481933593750000e+02,6.551166381835937500e+02,3.024260559082031250e+02
1.373886352539062500e+03,1.318447631835937500e+03,1.239727783203125000e+03,1.135008178710937500e+03,1.005111206054687500e+03,8.588106689453125000e+02,6.490877075195312500e+02,3.085968933105468750e+02
1.363644531250000000e+03,1.309482788085937500e+03,1.232262329101562500e+03,1.133572143554687500e+03,9.992955322265625000e+02,8.523486328125000000e+02,6.524062500000000000e+02,3.145968322753906250e+02
1.353516357421875000e+03,1.300623779296875000e+03,1.224896850585937500e+03,1.127572143554687500e+03,9.937678833007812500e+02,8.461569213867187500e+02,6.465415649414062500e+02,3.067105407714843750e+02
1.343302734375000000e+03,1.291673217773437500e+03,1.217442626953125000e+03,1.121485595703125000e+03,9.880740356445312500e+02,8.398007202148437500e+02,6.405733642578125000e+02,3.034324951171875000e+02
1.337612792968750000e+03,1.282778198242187500e+03,1.210047729492187500e+03,1.119936401367187500e+03,9.869653320312500000e+02,8.380270996093750000e+02,6.346525268554687500e+02,3.091169128417968750e+02
1.331822265625000000e+03,1.273876708984375000e+03,1.202645507812500000e+03,1.113856933593750000e+03,9.857871704101562500e+02,8.317510986328125000e+02,6.331969604492187500e+02,3.101894226074218750e+02
1.321554931640625000e+03,1.269361938476562500e+03,1.199632080078125000e+03,1.107795898437500000e+03,9.802022705078125000e+02,8.299328002929687500e+02,6.316920166015625000e+02,3.155613708496093750e+02
1.311284667968750000e+03,1.260412597656250000e+03,1.192185913085937500e+03,1.101740112304687500e+03,9.746458740234375000e+02,8.237087402343750000e+02,6.257713623046875000e+02,3.120741882324218750e+02
1.301000366210937500e+03,1.251449584960937500e+03,1.184727905273437500e+03,1.095675292968750000e+03,9.690775146484375000e+02,8.174668579101562500e+02,6.198355712890625000e+02,3.085801086425781250e+02
1.290723388671875000e+03,1.242491333007812500e+03,1.177272094726562500e+03,1.089611694335937500e+03,9.635275268554687500e+02,8.112505493164062500e+02,6.139169921875000000e+02,3.050916137695312500e+02
1.280409667968750000e+03,1.237669433593750000e+03,1.173964599609375000e+03,1.087742187500000000e+03,9.581433715820312500e+02,8.093749389648437500e+02,6.081182250976562500e+02,3.100197753906250000e+02
1.270147705078125000e+03,1.228672119140625000e+03,1.166474243164062500e+03,1.081666503906250000e+03,9.568347778320312500e+02,8.032024536132812500e+02,6.063985595703125000e+02,3.064645080566406250e+02
1.259841796875000000e+03,1.219630615234375000e+03,1.158944824218750000e+03,1.075567138671875000e+03,9.513803100585937500e+02,7.970683593750000000e+02,6.005170288085937500e+02,3.069890441894531250e+02
1.249437622070312500e+03,1.210476684570312500e+03,1.151305786132812500e+03,1.069385375976562500e+03,9.459097290039062500e+02,7.909318237304687500e+02,5.986608886718750000e+02,3.074181823730468750e+02
1.239270263671875000e+03,1.201597290039062500e+03,1.143929565429687500e+03,1.063383422851562500e+03,9.404509277343750000e+02,7.848244018554687500e+02,5.927473754882812500e+02,2.997762451171875000e+02
1.241874145507812500e+03,1.205048095703125000e+03,1.148248046875000000e+03,1.068231567382812500e+03,9.445665893554687500e+02,7.867136230468750000e+02,5.889663696289062500e+02,2.992924499511718750e+02
1.246818359375000000e+03,1.210710693359375000e+03,1.154653930664062500e+03,1.079064331054687500e+03,9.548407592773437500e+02,7.945521850585937500e+02,5.946336059570312500e+02,3.075134277343750000e+02
1.259823486328125000e+03,1.216510009765625000e+03,1.161190673828125000e+03,1.086035522460937500e+03,9.611998291015625000e+02,7.984499511718750000e+02,6.003162841796875000e+02,3.117661132812500000e+02
1.256817016601562500e+03,1.222203247070312500e+03,1.167635986328125000e+03,1.092848388671875000e+03,9.669772338867187500e+02,8.016719360351562500e+02,5.975470581054687500e+02,3.078361206054687500e+02
1.269644897460937500e+03,1.231753173828125000e+03,1.177932617187500000e+03,1.099700683593750000e+03,9.734614868164062500e+02,8.097128295898437500e+02,6.073532714843750000e+02,3.201333312988281250e+02
1.266614135742187500e+03,1.233470214843750000e+03,1.180397949218750000e+03,1.106464599609375000e+03,9.791168823242187500e+02,8.088630981445312500e+02,6.005006103515625000e+02,3.121428222656250000e+02
1.279609497070312500e+03,1.243236083984375000e+03,1.190929565429687500e+03,1.113531250000000000e+03,9.857677001953125000e+02,8.169789428710937500e+02,6.103304443359375000e+02,3.164827880859375000e+02
1.276540283203125000e+03,1.244912109375000000e+03,1.193333496093750000e+03,1.120165771484375000e+03,9.910639038085937500e+02,8.158333740234375000e+02,6.032758178710937500e+02,3.044417724609375000e+02
1.285385986328125000e+03,1.250475585937500000e+03,1.199638183593750000e+03,1.126983276367187500e+03,9.974025878906250000e+02,8.196967163085937500e+02,6.089613647460937500e+02,3.127126770019531250e+02
