7.880669555664062500e+02,1.008454956054687500e+03,8.448700561523437500e+02,4.216456298828125000e+02,1.457346313476562500e+03,7.789984130859375000e+02,9.318295898437500000e+02,1.273982666015625000e+03,2.366303863525390625e+02,4.706886596679687500e+02,9.185217285156250000e+02,3.626597412109375000e+03
7.941700439453125000e+02,1.006678283691406250e+03,8.434091796875000000e+02,4.255377807617187500e+02,1.453475585937500000e+03,7.864836425781250000e+02,9.456994628906250000e+02,1.261725585937500000e+03,2.612281494140625000e+02,4.769831237792968750e+02,9.153346557617187500e+02,3.608345703125000000e+03
8.002731323242187500e+02,1.004901611328125000e+03,8.419483642578125000e+02,4.294299621582031250e+02,1.449604858398437500e+03,7.939689941406250000e+02,9.595693969726562500e+02,1.249468505859375000e+03,2.858260498046875000e+02,4.832776489257812500e+02,9.121475219726562500e+02,3.590093994140625000e+03
8.063762817382812500e+02,1.003124938964843750e+03,8.404875488281250000e+02,4.333221130371093750e+02,1.445734130859375000e+03,8.014543457031250000e+02,9.734393310546875000e+02,1.237211303710937500e+03,3.104239807128906250e+02,4.895721740722656250e+02,9.089603881835937500e+02,3.571842041015625000e+03
8.124793090820312500e+02,1.001348266601562500e+03,8.390266723632812500e+02,4.372142639160156250e+02,1.441863403320312500e+03,8.089396362304687500e+02,9.873092041015625000e+02,1.224954223632812500e+03,3.350217285156250000e+02,4.958666381835937500e+02,9.057732543945312500e+02,3.553590332031250000e+03
8.185823974609375000e+02,9.995715942382812500e+02,8.375658569335937500e+02,4.411064453125000000e+02,1.437992675781250000e+03,8.164249267578125000e+02,1.001179138183593750e+03,1.212697143554687500e+03,3.596196289062500000e+02,5.021611633300781250e+02,9.025861206054687500e+02,3.535338378906250000e+03
8.307885742187500000e+02,9.960181884765625000e+02,8.346442260742187500e+02,4.488907775878906250e+02,1.430251220703125000e+03,8.313955688476562500e+02,1.028918945312500000e+03,1.188182983398437500e+03,4.088153076171875000e+02,5.147501831054687500e+02,8.962119140625000000e+02,3.498834960937500000e+03
8.368916625976562500e+02,9.942415161132812500e+02,8.331833496093750000e+02,4.527829589843750000e+02,1.426380493164062500e+03,8.388809204101562500e+02,1.042788940429687500e+03,1.175925781250000000e+03,4.334132080078125000e+02,5.210446777343750000e+02,8.930247802734375000e+02,3.480583007812500000e+03
8.429947509765625000e+02,9.924648437500000000e+02,8.317225341796875000e+02,4.566751098632812500e+02,1.422509765625000000e+03,8.463662109375000000e+02,1.056658813476562500e+03,1.163668701171875000e+03,4.580109558105468750e+02,5.273391723632812500e+02,8.898376464843750000e+02,3.462331298828125000e+03
8.490978393554687500e+02,9.906881713867187500e+02,8.302617187500000000e+02,4.605672912597656250e+02,1.418638916015625000e+03,8.538515014648437500e+02,1.070528686523437500e+03,1.151411621093750000e+03,4.826088867187500000e+02,5.336336669921875000e+02,8.866505126953125000e+02,3.444079345703125000e+03
8.552009277343750000e+02,9.889114990234375000e+02,8.288008422851562500e+02,4.644594421386718750e+02,1.414768310546875000e+03,8.613367919921875000e+02,1.084398559570312500e+03,1.139154541015625000e+03,5.072066345214843750e+02,5.399281616210937500e+02,8.834633789062500000e+02,3.425827636718750000e+03
8.613040161132812500e+02,9.871348266601562500e+02,8.273400268554687500e+02,4.683516235351562500e+02,1.410897460937500000e+03,8.688221435546875000e+02,1.098268554687500000e+03,1.126897460937500000e+03,5.318045654296875000e+02,5.462227172851562500e+02,8.802762451171875000e+02,3.407575683593750000e+03
8.674071044921875000e+02,9.853581542968750000e+02,8.258792114257812500e+02,4.722437744140625000e+02,1.407026733398437500e+03,8.763074340820312500e+02,1.112138427734375000e+03,1.114640380859375000e+03,5.564022827148437500e+02,5.525171508789062500e+02,8.770891723632812500e+02,3.389323974609375000e+03
8.735101928710937500e+02,9.835814208984375000e+02,8.244183959960937500e+02,4.761359558105468750e+02,1.403156005859375000e+03,8.837927856445312500e+02,1.126008300781250000e+03,1.102383178710937500e+03,5.810001831054687500e+02,5.588117065429687500e+02,8.739020385742187500e+02,3.371072265625000000e+03
8.796132812500000000e+02,9.818047485351562500e+02,8.229575195312500000e+02,4.800281066894531250e+02,1.399285278320312500e+03,8.912780761718750000e+02,1.139878295898437500e+03,1.090126098632812500e+03,6.055981445312500000e+02,5.651062011718750000e+02,8.707149047851562500e+02,3.352820312500000000e+03
8.857163696289062500e+02,9.800280761718750000e+02,8.214967041015625000e+02,4.839202575683593750e+02,1.395414550781250000e+03,8.987633666992187500e+02,1.153748168945312500e+03,1.077869018554687500e+03,6.301958618164062500e+02,5.714006958007812500e+02,8.675277709960937500e+02,3.334568603515625000e+03
8.918194580078125000e+02,9.782514038085937500e+02,8.200358886718750000e+02,4.878124389648437500e+02,1.391543823242187500e+03,9.062487182617187500e+02,1.167618041992187500e+03,1.065611938476562500e+03,6.547937622070312500e+02,5.776951904296875000e+02,8.643406372070312500e+02,3.316316650390625000e+03
8.960524291992187500e+02,9.745062255859375000e+02,8.186642456054687500e+02,4.917842102050781250e+02,1.387427124023437500e+03,9.110000610351562500e+02,1.178429443359375000e+03,1.056062622070312500e+03,6.705043945312500000e+02,5.827673339843750000e+02,8.603923339843750000e+02,3.296853515625000000e+03
8.942597045898437500e+02,9.644181518554687500e+02,8.175799560546875000e+02,4.960126037597656250e+02,1.382517578125000000e+03,9.069420776367187500e+02,1.179385253906250000e+03,1.055238403320312500e+03,6.575784301757812500e+02,5.839006347656250000e+02,8.539910278320312500e+02,3.273487304687500000e+03
8.924669189453125000e+02,9.543301391601562500e+02,8.164957275390625000e+02,5.002409362792968750e+02,1.377608276367187500e+03,9.028840332031250000e+02,1.180341064453125000e+03,1.054414306640625000e+03,6.446525268554687500e+02,5.850339965820312500e+02,8.475897827148437500e+02,3.250121093750000000e+03
8.906741943359375000e+02,9.442420654296875000e+02,8.154114990234375000e+02,5.044692993164062500e+02,1.372698730468750000e+03,8.988260498046875000e+02,1.181296875000000000e+03,1.053590087890625000e+03,6.317265014648437500e+02,5.861673583984375000e+02,8.411885375976562500e+02,3.226754882812500000e+03
8.888814086914062500e+02,9.341539916992187500e+02,8.143272094726562500e+02,5.086976623535156250e+02,1.367789306640625000e+03,8.947680053710937500e+02,1.182252685546875000e+03,1.052765869140625000e+03,6.188005371093750000e+02,5.873006591796875000e+02,8.347872314453125000e+02,3.203388671875000000e+03
8.870886840820312500e+02,9.240659179687500000e+02,8.132429809570312500e+02,5.129260253906250000e+02,1.362879882812500000e+03,8.907100219726562500e+02,1.183208618164062500e+03,1.051941772460937500e+03,6.058746337890625000e+02,5.884340209960937500e+02,8.283859863281250000e+02,3.180022460937500000e+03
